,energy,valence,acousticness,instrumentalness,chart,mode,artist_followers,album_total_tracks,artist_popularity,tempo,speechiness,danceability,liveness,loudness,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,time_signature_0.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0,album_release_date_year,album_release_date_month_sin,album_release_date_month_cos,album_release_date_day_sin,album_release_date_day_cos,album_release_date_weekday_sin,album_release_date_weekday_cos,n_vec_0,n_vec_1,n_vec_2,n_vec_3,n_vec_4,n_vec_5,n_vec_6,n_vec_7,n_vec_8,n_vec_9,g_vec_0,g_vec_1,g_vec_2,g_vec_3,g_vec_4,g_vec_5,g_vec_6,g_vec_7,g_vec_8,g_vec_9,available_markets_AD,available_markets_AE,available_markets_AG,available_markets_AL,available_markets_AM,available_markets_AO,available_markets_AR,available_markets_AT,available_markets_AU,available_markets_AZ,available_markets_BA,available_markets_BB,available_markets_BD,available_markets_BE,available_markets_BF,available_markets_BG,available_markets_BH,available_markets_BI,available_markets_BJ,available_markets_BN,available_markets_BO,available_markets_BR,available_markets_BS,available_markets_BT,available_markets_BW,available_markets_BY,available_markets_BZ,available_markets_CA,available_markets_CD,available_markets_CG,available_markets_CH,available_markets_CI,available_markets_CL,available_markets_CM,available_markets_CO,available_markets_CR,available_markets_CV,available_markets_CW,available_markets_CY,available_markets_CZ,available_markets_DE,available_markets_DJ,available_markets_DK,available_markets_DM,available_markets_DO,available_markets_DZ,available_markets_EC,available_markets_EE,available_markets_EG,available_markets_ES,available_markets_ET,available_markets_FI,available_markets_FJ,available_markets_FM,available_markets_FR,available_markets_GA,available_markets_GB,available_markets_GD,available_markets_GE,available_markets_GH,available_markets_GM,available_markets_GN,available_markets_GQ,available_markets_GR,available_markets_GT,available_markets_GW,available_markets_GY,available_markets_HK,available_markets_HN,available_markets_HR,available_markets_HT,available_markets_HU,available_markets_ID,available_markets_IE,available_markets_IL,available_markets_IN,available_markets_IQ,available_markets_IS,available_markets_IT,available_markets_JM,available_markets_JO,available_markets_JP,available_markets_KE,available_markets_KG,available_markets_KH,available_markets_KI,available_markets_KM,available_markets_KN,available_markets_KR,available_markets_KW,available_markets_KZ,available_markets_LA,available_markets_LB,available_markets_LC,available_markets_LI,available_markets_LK,available_markets_LR,available_markets_LS,available_markets_LT,available_markets_LU,available_markets_LV,available_markets_LY,available_markets_MA,available_markets_MC,available_markets_MD,available_markets_ME,available_markets_MG,available_markets_MH,available_markets_MK,available_markets_ML,available_markets_MN,available_markets_MO,available_markets_MR,available_markets_MT,available_markets_MU,available_markets_MV,available_markets_MW,available_markets_MX,available_markets_MY,available_markets_MZ,available_markets_NA,available_markets_NE,available_markets_NG,available_markets_NI,available_markets_NL,available_markets_NO,available_markets_NP,available_markets_NR,available_markets_NZ,available_markets_OM,available_markets_PA,available_markets_PE,available_markets_PG,available_markets_PH,available_markets_PK,available_markets_PL,available_markets_PR,available_markets_PS,available_markets_PT,available_markets_PW,available_markets_PY,available_markets_QA,available_markets_RO,available_markets_RS,available_markets_RW,available_markets_SA,available_markets_SB,available_markets_SC,available_markets_SE,available_markets_SG,available_markets_SI,available_markets_SK,available_markets_SL,available_markets_SM,available_markets_SN,available_markets_SR,available_markets_ST,available_markets_SV,available_markets_SZ,available_markets_TD,available_markets_TG,available_markets_TH,available_markets_TJ,available_markets_TL,available_markets_TN,available_markets_TO,available_markets_TR,available_markets_TT,available_markets_TV,available_markets_TW,available_markets_TZ,available_markets_UA,available_markets_UG,available_markets_US,available_markets_UY,available_markets_UZ,available_markets_VC,available_markets_VE,available_markets_VN,available_markets_VU,available_markets_WS,available_markets_XK,available_markets_ZA,available_markets_ZM,available_markets_ZW
count,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0
mean,0.5346195236990107,0.4368548819539847,0.41918545723602424,0.3040340828206624,0.004884961653884628,0.6285372902078471,0.04273079978035231,-0.013156029539830534,0.0446270193462495,0.002562951699186073,0.005017739417771831,0.0028882410245102434,-0.00290350242818293,0.0051341827591043256,0.11914527064577081,0.09199733244414805,0.10607980437923753,0.03771812826497722,0.07471379348671779,0.0889352006224297,0.06183727909303101,0.11643325552962099,0.06292653106591085,0.0980215627431366,0.06847838168278315,0.0737134600422363,0.0005779704345893076,0.011853951317105703,0.10854729354229188,0.8582583083249973,0.020762476381015894,2012.211815049461,0.055905485987120807,0.14732498717314996,0.029786782844109107,0.152843456585849,-0.004737460734715577,-0.22680236238884285,0.03994352923523797,-1.1231585797887247,1.661586560819827,-0.3122858752317145,0.35442992217040314,1.2641229118483466,2.1780346908139165,1.8210585271586741,-1.3501805413903896,-1.5707923602491227,0.2049712110433938,-0.732541645203346,0.06746971875284068,-0.03135608546307861,0.09969206647218114,0.5543816295253098,0.8067109107821613,0.8530552083578226,-0.5592271767254183,0.43788849903233645,0.7145826386573302,0.7189285317327998,0.712920973657886,0.7089251972879849,0.7127820384572635,0.7119539846615538,0.7218795153940202,0.719517616983439,0.7133933533400022,0.7129932199622097,0.7141047015671891,0.7138601756140935,0.7104201400466822,0.7226797821496054,0.7106813382238524,0.7206902300766922,0.7164388129376459,0.7018006002000667,0.71162054018006,0.7093031010336779,0.7216850061131488,0.7205012782038457,0.7134544848282761,0.7053351117039013,0.7137267978214961,0.6643881293764589,0.7133822385239524,0.7154162498610648,0.6964654884961654,0.7114260308991887,0.7202511948427254,0.7091308213849061,0.7213237745915305,0.7173724574858286,0.7212015116149828,0.7219739913304435,0.713404468156052,0.7272368567300211,0.7211792819828832,0.7223185506279871,0.7192786484383683,0.7111648327220185,0.7225741913971324,0.7132822051795042,0.7196843392241858,0.7141158163832388,0.7206791152606424,0.7226575525175059,0.7183950205624097,0.7232966544403691,0.6992719795487384,0.7233966877848171,0.7133655662998777,0.7122207402467489,0.7210070023341114,0.7112370790263421,0.7198621762809826,0.7130543514504835,0.7000778037123485,0.7156329887740358,0.7138879626542181,0.7162220740246749,0.7114538179393131,0.722051795042792,0.7202122929865511,0.7135489607646993,0.7100255640769145,0.7191452706457708,0.7202456374347005,0.7153217739246416,0.7059630988107147,0.7229131932866512,0.7196621095920862,0.7211626097588085,0.7211681671668334,0.717083472268534,0.6964543736801156,0.7217516950094476,0.720706902300767,0.7114427031232633,0.715621873957986,0.695837501389352,0.7157219073024341,0.7125152828720684,0.7161498277203512,0.7009336445481827,0.7113871290430144,0.71297099033011,0.7178503945759698,0.7153940202289653,0.7135934200288985,0.7145437368011559,0.7160386795598532,0.7109036345448483,0.7144381460486829,0.7193453373346671,0.7070856952317439,0.711192619762143,0.7226797821496054,0.7215794153606758,0.7224797154607091,0.6946037568078248,0.7106591085917529,0.7147326886740024,0.7132488607313549,0.7007391352673114,0.7113593420028899,0.7012393019895521,0.7139768811826164,0.7115482938757364,0.7121929532066245,0.710703567855952,0.7110981438257197,0.719567633655663,0.7179948871846171,0.7056129821051461,0.7115427364677115,0.7208680671334889,0.720545737468045,0.7139268645103923,0.713837945981994,0.7139602089585417,0.719728798488385,0.7202122929865511,0.7235245081693898,0.7236912304101367,0.7100366788929643,0.7013448927420252,0.7152106257641436,0.7169667667000111,0.7207458041569412,0.7208569523174392,0.7108980771368234,0.7202789818828499,0.7109425364010226,0.7211792819828832,0.58756252084028,0.7025119484272535,0.7237023452261865,0.7034233633433367,0.721623874624875,0.7171279315327331,0.7198732910970324,0.6929365344003556,0.716266533288874,0.7194731577192397,0.7033789040791375,0.7127097921529398,0.722540846948983,0.719839946648883,0.7207680337890408,0.7219739913304435,0.7114371457152384,0.7039068578415028,0.7144048016005335,0.708219406468823,0.711025897521396,0.7204068022674225,0.7135045015005002,0.7141658330554629,0.7112815382905413,0.716866733355563,0.7131043681227076,0.7095031677225742,0.7177281315994221,0.7014171390463488,0.7196565521840613,0.715405135045015,0.7013615649660998,0.7183505612982105,0.7130988107146826,0.7194231410470157,0.7139602089585417,0.7105201733911304,0.7149494275869734,0.7100311214849394,0.7108036012004001,0.7213682338557297,0.7174224741580527,0.6962876514393687,0.7011503834611538,0.6929365344003556,0.7224519284205846,0.7116816716683338,0.6995387351339335
std,0.28841952253237496,0.2713275547180462,0.37739335524256107,0.39211035418829593,0.06972177435195077,0.48319712599172476,1.146916024511724,1.0389136263737164,1.0208599948617583,0.9977163615752527,1.0057648885164063,1.0008712064720948,0.990345915094954,1.0017582876690998,0.3239602728420956,0.2890229878425394,0.30794058919975126,0.19051423247365823,0.26292969924377524,0.28465098104209374,0.24086044177800311,0.3207446402772008,0.2428314445417123,0.29734462721267296,0.2525657289278917,0.2613047364889825,0.02403413395454408,0.10822892520938057,0.3110712400259483,0.34878598106005637,0.1425886003368945,12.646175168742866,0.6865862281346435,0.7097708754056494,0.6500012092390774,0.7438114519247965,0.6061180001887472,0.7623414498577199,1.3874150752034924,1.1273398340002585,1.2518149754145038,1.1640306832639244,1.3138270106531438,1.6402861294603563,1.167303469431864,1.51845881813407,0.9483588437846252,1.3115111704541316,1.390447638403718,1.5145183477439217,1.8310068319368227,1.5417294741422123,1.5213961830734535,1.4937727052098075,1.3610234217752961,1.40824735620967,1.3218431311815848,1.7308712573999947,0.4516142431881121,0.4495235488677507,0.452400040216529,0.45425918671739746,0.45246540403660296,0.45285389264165504,0.4480743201887812,0.44923617106357483,0.45217741323785604,0.452366030433832,0.4518410244422009,0.45195681261602816,0.4535686364352876,0.44767714751680143,0.45344736895032295,0.44866127650816057,0.45072759985541394,0.45746877576546746,0.45300980944504293,0.4540851878208618,0.4481705861702866,0.44875417041292875,0.4521485586108289,0.45589324073264215,0.4520199015459872,0.47220523302757267,0.4521826584479316,0.4512172101851109,0.45978526148609755,0.4531006228146813,0.44887696636767344,0.45416455811535805,0.44834908713357763,0.45027807129922115,0.4484094208342237,0.44802752449365557,0.4521721676937217,0.4453813122886929,0.44842038614432467,0.44785664751903675,0.44935286410541153,0.453222412256663,0.4477296543363749,0.45222985030788804,0.4491546640642175,0.45183575749407073,0.4486667435906955,0.44768820416547367,0.44978299132306704,0.447369775883222,0.45857588995097026,0.447319831771976,0.45219052563671036,0.45272894371235206,0.4485053208502025,0.45318874415092136,0.44906763873339334,0.4523372419153697,0.4582248785812754,0.4511136720435451,0.45194366302593886,0.4508316140677064,0.4530876557029791,0.44798896823176654,0.4488960524196273,0.4521039452153411,0.4537514811558989,0.449417926677678,0.4488796932026228,0.4512623021830445,0.4556098720802935,0.4475609695535513,0.44916553609425375,0.4484286092277644,0.44842586828558,0.4504174658380328,0.4597900106962961,0.4481375925312401,0.4486530752431523,0.4530928427966871,0.45111898480303353,0.4600530939669778,0.4510711578552509,0.4525907565520239,0.4508662569859126,0.457850232576595,0.4531187732848847,0.45237649648359113,0.45004703220160336,0.4512278222519812,0.4520829423211847,0.45163272529311344,0.45091952598332,0.45334401848784905,0.4516828703052894,0.4493203144391231,0.4551007205687618,0.45320946464416106,0.4476771475168015,0.44822280083920324,0.44777660779729433,0.4605763310596185,0.45345769670735986,0.45154291658749807,0.45224557491649003,0.45793554676197323,0.4531317354165725,0.4577159682963392,0.4519015702845064,0.45304355199881596,0.4527419681681513,0.4534370398682467,0.45325347806729654,0.4492117270138344,0.4499770598838958,0.45576798483371733,0.4530461469985792,0.4485737566705746,0.44873232191165835,0.45192525008671136,0.45196733078262424,0.4519094643048647,0.4491329159138616,0.4488960524196273,0.44725597362125435,0.4471726117680908,0.4537463363055009,0.4576695294960741,0.4513153205041248,0.45047369500713336,0.4486339359656194,0.44857922922620147,0.4533466038650295,0.44886333091233893,0.4533259185271018,0.4484203861443246,0.4922744678468048,0.4571543198825771,0.4471670515484848,0.4567494878301156,0.4482008194888427,0.45039603540123524,0.44906219675184483,0.46127722269844207,0.45081028827077424,0.4492578933164789,0.4567692862518994,0.45249937263285206,0.44774622898464544,0.44907852167336215,0.44862299735443195,0.4480275244936555,0.4530954362190261,0.4565338449859994,0.45169869928761774,0.4545831356143224,0.4532871192208526,0.44880058032301073,0.45212494276195186,0.45181205208395453,0.4531680183484456,0.4505218617897524,0.4523136801647218,0.45399291640858785,0.45010619482135944,0.45763773882747977,0.449168253888744,0.451222516386638,0.45766219439620076,0.449804576209101,0.45231629847075355,0.44928232433679605,0.4519094643048647,0.4535222151740604,0.4514397813307828,0.4537489087720249,0.4533905425991153,0.4483271373262719,0.45025392211118853,0.45986121072608205,0.4577550521086282,0.46127722269844207,0.4477904129083175,0.4529812470902343,0.4584598796705325
min,0.0,0.0,0.0,0.0,0.0,0.0,-0.23206454700863652,-0.5540681938867466,-1.9847350282258462,-3.8988536950492003,-0.8452781269337196,-2.87208055446645,-1.135814950966328,-7.109588915495937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1899.0,-1.0,-1.0,-0.9987165071710528,-0.9948693233918952,-0.9749279121818236,-0.9009688679024191,-5.317235469818115,-10.384861946105957,-3.2651522159576416,-8.946449279785156,-5.404683589935303,-9.571212768554688,-3.9569883346557617,-4.031762599945068,-13.98764419555664,-9.639189720153809,-6.063620090484619,-6.409714221954346,-7.645334879557292,-9.18669319152832,-6.357856750488281,-6.610439300537109,-3.7450310587882996,-3.67970871925354,-6.970730543136597,-7.616694927215576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.293,0.2,0.03885542168674699,2.54e-06,0.0,0.0,-0.23120433898380383,-0.47252446630598416,-0.6596542439189481,-0.7757607730034844,-0.4675563851624391,-0.6589325270768365,-0.5540013942822276,-0.4082152635354649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2009.0,-0.5000000000000004,-0.5000000000000004,-0.5712682150947924,-0.6121059825476627,-0.433883739117558,-0.9009688679024191,-0.8188261786708608,-1.7439970080574443,0.5926003297790885,-0.8527236524304109,-0.4537322579629042,0.04511130414903164,1.3958431093452068,0.5997482889589654,-1.8195466697216034,-2.513209183389942,-0.36635111132636666,-1.6722894708315532,-0.8986137089629969,-0.7517445325851441,-0.7923166751861572,-0.005733013153076172,0.0,0.0,-1.2165776491165161,-0.25922247767448425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.564,0.411,0.3172690763052209,0.00651,0.0,1.0,-0.22181919641722925,-0.1463495559829348,0.12557881344810276,0.02784763430281159,-0.3587390412726519,0.10675375728070749,-0.41306519111030277,0.30390797232910777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2017.0,1.2246467991473532e-16,0.5000000000000001,0.20129852008866006,0.34730525284481945,-0.433883739117558,-0.900968867902419,-0.1368912895294753,-1.0300325373453754,1.647823298261279,-0.07321879143516222,0.08202115818858147,1.228136420249939,2.2297565966844557,1.6399050070904195,-1.243893169358905,-1.5437580873568852,0.0,-0.3377036191523075,0.0,0.0,0.0,0.2540123462677002,0.3570922315120697,0.4856775924563408,-0.1813206672668457,0.05332145467400551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75%,0.783,0.655,0.8192771084337349,0.791,0.0,1.0,-0.128383389071159,0.057509762968971055,0.8126577386442723,0.626332172951236,-0.042750215746539005,0.7570626563241011,0.19524919010185185,0.7075458528161046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021.0,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.9189578116202306,0.7818314824680298,0.6234898018587336,0.4340097130043432,-0.26879956328775734,2.541577335136632,0.3774960110290433,0.9470676183700562,2.277200261142016,2.946323871612549,2.82843734449707,-0.7397206499257923,-0.5002280333587392,0.8601024846235911,0.0,0.7939749360084534,0.4702564775943756,0.9108398854732513,1.612646460533142,1.635653555393219,1.8804013133049011,0.01439707726240158,1.588718525000981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
max,1.0,1.0,1.0,1.0,1.0,1.0,18.763801144495012,37.32299326737736,2.9229715803182215,3.98658857394816,9.25171580130134,2.3199017846703214,4.887099714500549,2.135268215873448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2024.0,1.0,1.0,0.9987165071710528,1.0,0.9749279121818236,1.0,14.08071231842041,5.627915859222412,10.667701721191406,9.049156188964844,9.603023529052734,14.028801918029785,10.559280395507812,9.248017311096191,3.489536762237549,6.780194282531738,6.247776508331299,5.3212257623672485,6.178200721740723,7.486703157424927,6.550846576690674,6.270503997802734,6.931513071060181,7.106030464172363,5.865055561065674,6.511591672897339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
