,artist_followers,album_total_tracks,artist_popularity,tempo,chart,energy,key,popularity,mode,time_signature,speechiness,danceability,valence,acousticness,liveness,instrumentalness,loudness
count,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0
mean,2100512.701317106,13.654173613426698,43.30216738912971,119.23317425252864,0.006874513726797821,0.5368721612687563,5.220017783705679,22.95652439702123,0.6293820162276315,3.8754195843058796,0.0804236339891075,0.5515618856285428,0.4368194953373346,0.41217839879882184,0.18586677059019677,0.29798869784483717,-10.796121823941315
std,8217180.678286554,22.524268617907737,20.987789079398205,30.426431943850343,0.08262743327654137,0.28836999197514807,3.5529608398548653,20.469353725796054,0.4829716246392807,0.4800019405922938,0.09217640134150254,0.19063502612197158,0.27031322820373327,0.37535867237913567,0.1623220666085583,0.3908850448360456,6.948670942704946
min,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0
25%,6126.0,2.0,29.0,95.411,0.0,0.298,2.0,1.0,0.0,4.0,0.0361,0.428,0.202,0.0376,0.0963,2.11e-06,-13.589
50%,77487.0,11.0,45.0,119.99,0.0,0.57,5.0,21.0,1.0,4.0,0.0466,0.571,0.411,0.303,0.119,0.00489,-8.683
75%,821454.0,16.0,59.0,138.399,0.0,0.785,8.0,39.0,1.0,4.0,0.0769,0.695,0.654,0.811,0.216,0.783,-5.955
max,113759927.0,1000.0,100.0,248.054,1.0,1.0,11.0,90.0,1.0,5.0,0.967,0.99,1.0,0.996,1.0,1.0,4.638
