,artist_followers,album_total_tracks,artist_popularity,tempo,chart,energy,key,popularity,mode,time_signature,speechiness,danceability,valence,acousticness,liveness,instrumentalness,loudness
count,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0
mean,1389757.4533177726,14.589474269200844,40.44119150828054,119.13308971323777,0.004045793042125153,0.5334963680076693,5.233883516727798,18.89481493831277,0.6298210514615983,3.8733411137045684,0.08078576636656662,0.547644341447149,0.438292359620429,0.4198115788001,0.18858227520284537,0.30546466570934755,-10.910394525953093
std,5988684.32499842,24.526786017359186,20.376172792697922,30.55601211748177,0.06347792525017262,0.2882880883528064,3.554520379993113,17.948383550729044,0.4828537980536198,0.4854819746055832,0.09557326550053986,0.19067914454675092,0.27194803380093036,0.3760480229153711,0.16603303122477117,0.3924934658333898,6.904722968314525
min,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0
25%,5247.0,3.0,26.0,95.114,0.0,0.292,2.0,0.0,0.0,4.0,0.0361,0.423,0.202,0.0395,0.0963,2.65e-06,-13.761
50%,54592.0,11.0,42.0,119.974,0.0,0.563,5.0,16.0,1.0,4.0,0.0464,0.567,0.412,0.322,0.12,0.00666,-8.873
75%,501643.75,16.0,55.0,138.445,0.0,0.782,8.0,33.0,1.0,4.0,0.0764,0.691,0.657,0.819,0.22,0.794,-6.064
max,113759927.0,930.0,100.0,242.998,1.0,1.0,11.0,94.0,1.0,5.0,0.967,0.995,1.0,0.996,1.0,1.0,3.194
