,artist_followers,album_total_tracks,artist_popularity,tempo,chart,energy,key,popularity,mode,time_signature,speechiness,danceability,valence,acousticness,liveness,instrumentalness,loudness
count,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0
mean,2778325.556224297,13.43002667555852,45.129487606980106,119.19593625652993,0.01140380126708903,0.5382364588712905,5.218711792819829,25.72375236189841,0.6266755585195065,3.881710570190063,0.08059790708013782,0.5550839574302544,0.4383902951094809,0.406645567134656,0.1839682062909859,0.2907943735104479,-10.712743208847394
std,10220784.682870856,21.893215343195276,21.374658460720415,30.426442203845678,0.10617823334823456,0.28713543756175197,3.5586374540810177,22.437224706402688,0.4836885393049534,0.46608571503065455,0.09202561746486874,0.1907413499287691,0.2698639404021012,0.37404738565482537,0.15881002103710012,0.3891371898093576,6.962883969458247
min,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0
25%,7005.0,2.0,31.0,95.50575,0.0,0.302,2.0,1.0,0.0,4.0,0.0361,0.431,0.204,0.0375,0.096,1.82e-06,-13.427
50%,97424.0,11.0,47.0,119.982,0.0,0.574,5.0,24.0,1.0,4.0,0.0466,0.576,0.413,0.289,0.118,0.00351,-8.558
75%,1089999.0,16.0,61.0,138.315,0.0,0.784,8.0,43.0,1.0,4.0,0.0771,0.698,0.655,0.803,0.214,0.771,-5.886
max,113759927.0,930.0,100.0,244.44,1.0,1.0,11.0,98.0,1.0,5.0,0.964,0.988,1.0,0.996,1.0,1.0,5.096
