,energy,valence,acousticness,instrumentalness,chart,mode,artist_followers,album_total_tracks,artist_popularity,tempo,speechiness,danceability,liveness,loudness,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,time_signature_0.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0,album_release_date_year,album_release_date_month_sin,album_release_date_month_cos,album_release_date_day_sin,album_release_date_day_cos,album_release_date_weekday_sin,album_release_date_weekday_cos,n_vec_0,n_vec_1,n_vec_2,n_vec_3,n_vec_4,n_vec_5,n_vec_6,n_vec_7,n_vec_8,n_vec_9,g_vec_0,g_vec_1,g_vec_2,g_vec_3,g_vec_4,g_vec_5,g_vec_6,g_vec_7,g_vec_8,g_vec_9,available_markets_AD,available_markets_AE,available_markets_AG,available_markets_AL,available_markets_AM,available_markets_AO,available_markets_AR,available_markets_AT,available_markets_AU,available_markets_AZ,available_markets_BA,available_markets_BB,available_markets_BD,available_markets_BE,available_markets_BF,available_markets_BG,available_markets_BH,available_markets_BI,available_markets_BJ,available_markets_BN,available_markets_BO,available_markets_BR,available_markets_BS,available_markets_BT,available_markets_BW,available_markets_BY,available_markets_BZ,available_markets_CA,available_markets_CD,available_markets_CG,available_markets_CH,available_markets_CI,available_markets_CL,available_markets_CM,available_markets_CO,available_markets_CR,available_markets_CV,available_markets_CW,available_markets_CY,available_markets_CZ,available_markets_DE,available_markets_DJ,available_markets_DK,available_markets_DM,available_markets_DO,available_markets_DZ,available_markets_EC,available_markets_EE,available_markets_EG,available_markets_ES,available_markets_ET,available_markets_FI,available_markets_FJ,available_markets_FM,available_markets_FR,available_markets_GA,available_markets_GB,available_markets_GD,available_markets_GE,available_markets_GH,available_markets_GM,available_markets_GN,available_markets_GQ,available_markets_GR,available_markets_GT,available_markets_GW,available_markets_GY,available_markets_HK,available_markets_HN,available_markets_HR,available_markets_HT,available_markets_HU,available_markets_ID,available_markets_IE,available_markets_IL,available_markets_IN,available_markets_IQ,available_markets_IS,available_markets_IT,available_markets_JM,available_markets_JO,available_markets_JP,available_markets_KE,available_markets_KG,available_markets_KH,available_markets_KI,available_markets_KM,available_markets_KN,available_markets_KR,available_markets_KW,available_markets_KZ,available_markets_LA,available_markets_LB,available_markets_LC,available_markets_LI,available_markets_LK,available_markets_LR,available_markets_LS,available_markets_LT,available_markets_LU,available_markets_LV,available_markets_LY,available_markets_MA,available_markets_MC,available_markets_MD,available_markets_ME,available_markets_MG,available_markets_MH,available_markets_MK,available_markets_ML,available_markets_MN,available_markets_MO,available_markets_MR,available_markets_MT,available_markets_MU,available_markets_MV,available_markets_MW,available_markets_MX,available_markets_MY,available_markets_MZ,available_markets_NA,available_markets_NE,available_markets_NG,available_markets_NI,available_markets_NL,available_markets_NO,available_markets_NP,available_markets_NR,available_markets_NZ,available_markets_OM,available_markets_PA,available_markets_PE,available_markets_PG,available_markets_PH,available_markets_PK,available_markets_PL,available_markets_PR,available_markets_PS,available_markets_PT,available_markets_PW,available_markets_PY,available_markets_QA,available_markets_RO,available_markets_RS,available_markets_RW,available_markets_SA,available_markets_SB,available_markets_SC,available_markets_SE,available_markets_SG,available_markets_SI,available_markets_SK,available_markets_SL,available_markets_SM,available_markets_SN,available_markets_SR,available_markets_ST,available_markets_SV,available_markets_SZ,available_markets_TD,available_markets_TG,available_markets_TH,available_markets_TJ,available_markets_TL,available_markets_TN,available_markets_TO,available_markets_TR,available_markets_TT,available_markets_TV,available_markets_TW,available_markets_TZ,available_markets_UA,available_markets_UG,available_markets_US,available_markets_UY,available_markets_UZ,available_markets_VC,available_markets_VE,available_markets_VN,available_markets_VU,available_markets_WS,available_markets_XK,available_markets_ZA,available_markets_ZM,available_markets_ZW
count,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0
mean,0.5382364588712905,0.4383902951094809,0.4082786818621044,0.2907943735104479,0.01140380126708903,0.6266755585195065,0.23186594684012368,-0.04727283936007007,0.23008781746399223,0.0020567709452144955,-0.0019656104398281045,0.03901651999418531,-0.027790143316713305,0.028625604130609186,0.11985661887295765,0.09478159386462154,0.10583527842614204,0.03621207069023007,0.0737134600422363,0.08793486717794821,0.06261531621651661,0.11425475158386128,0.06492719795487385,0.09815494053573413,0.06804490385684117,0.07366900077803712,0.0005501833944648216,0.011020340113371123,0.10313437812604201,0.865188396132044,0.020106702234078025,2012.1559630988106,0.04957020888390755,0.13796015820205787,0.027413340114707262,0.14465069310047443,-0.016286304473955793,-0.24407819503345815,-0.01495794198777457,-1.1351351433411345,1.6653349197774725,-0.34256945231918484,0.29801232130152605,1.2899387246672562,2.195235318133099,1.8772862458968387,-1.3643800832772133,-1.5585981325076916,0.1679294898778213,-0.7280234874457434,-0.051082767275188255,-0.0514476723975447,0.0865233970680933,0.5843328187645775,0.8414196637668014,0.9127989782618428,-0.573152191276533,0.5259440863855228,0.733188840724686,0.736378792930977,0.7323996887851506,0.7282594198066022,0.7313715683005446,0.730915860842503,0.741024786039791,0.7377625875291763,0.7326942314104702,0.7316272090696899,0.7333889074135823,0.7330110036678893,0.7295042792041792,0.7405746359897744,0.7274480382349672,0.7395520729131932,0.7343392241858397,0.7218294987217961,0.7307102367455819,0.7262031788373903,0.7406302100700234,0.7397576970101145,0.7327164610425697,0.7224963876847839,0.7330721351561632,0.6763754584861621,0.7331221518283872,0.735567411359342,0.7166333222185173,0.7304990552406357,0.7387129043014338,0.7287929309769924,0.7405857508058241,0.7363676781149272,0.7404634878292764,0.7414471490496832,0.7328498388351673,0.7457096810047794,0.7397187951539402,0.7411414916083139,0.7371512726464376,0.7300433477825942,0.7410636878959653,0.7328331666110925,0.7389852172946538,0.7323885739691008,0.7400300100033345,0.741185950872513,0.735839724352562,0.741997332444148,0.7168722907635878,0.7420306768922974,0.7325330665777482,0.7312993219962209,0.7393575636323219,0.7301322663109926,0.7373013226631099,0.7324052461931755,0.715999777703679,0.7348004890519062,0.7332166277648104,0.7352561965099478,0.7305990885850839,0.7406135378459486,0.7397354673780149,0.7330776925641881,0.7277759253084362,0.7378237190174503,0.7397132377459154,0.7347893742358564,0.7256085361787262,0.7416861175947538,0.7382460820273424,0.7386073135489608,0.7401800600200067,0.7356896743358897,0.7157941536067578,0.7400689118595087,0.7391519395354007,0.7305990885850839,0.7335222852061798,0.7153051017005668,0.7348338335000556,0.731077025675225,0.7347893742358564,0.7184061353784594,0.7305323996887851,0.7323941313771257,0.7363009892186284,0.7337167944870513,0.7321107035678559,0.7332833166611092,0.7337945981993999,0.7302322996554407,0.733188840724686,0.738051572746471,0.7263087695898632,0.7299711014782705,0.7411915082805379,0.7395409580971435,0.7410470156718907,0.7139546515505169,0.7289929976658887,0.7332777592530844,0.7320718017116816,0.7218183839057464,0.7304101367122374,0.7186840057797044,0.7333444481493832,0.7306880071134823,0.7309825497388018,0.7300155607424698,0.7302989885517395,0.7379237523618984,0.7371790596865622,0.7231577192397466,0.7306324330332333,0.7406635545181727,0.738862954318106,0.7332221851728354,0.7331110370123375,0.733299988885184,0.7388073802378571,0.7396910081138157,0.7414916083138824,0.742052906524397,0.7272535289540958,0.7187729243081027,0.7340724686006447,0.7348004890519062,0.7400188951872847,0.7400689118595087,0.7299655440702456,0.7389407580304546,0.7294375903078804,0.7399688785150605,0.5843503390018895,0.7208236078692898,0.742275202845393,0.720756918972991,0.7405913082138491,0.7349449816605536,0.7390574635989774,0.7146771145937535,0.7353173279982216,0.7368845170612426,0.7206680004445927,0.7318828498388351,0.7396409914415917,0.7387129043014338,0.7399577636990108,0.7408636212070691,0.7306268756252084,0.721245970879182,0.7335334000222297,0.7260698010447927,0.7301989552072913,0.7397410247860398,0.7328942980993665,0.7334833833500055,0.7301211514949427,0.7358119373124374,0.7316994553740136,0.7289763254418139,0.7356452150716906,0.718972990996999,0.7389629876625542,0.734433700122263,0.7188396132044015,0.7372902078470601,0.7323274424808269,0.7381849505390686,0.7332833166611092,0.7328665110592419,0.7340835834166944,0.7266033122151828,0.7301989552072913,0.7403745693008781,0.7362120706902301,0.7123652328553962,0.718811826164277,0.7146771145937535,0.7413304434811604,0.7306713348894076,0.7198288318328332
std,0.28713543756175197,0.2698639404021012,0.3755495839907885,0.3891371898093576,0.10617823334823456,0.4836885393049534,1.7066875675614004,0.8926271939062411,1.0490055258304996,0.9957623603921607,0.9628830059946757,1.0003290102760365,0.9564992047274536,1.0084261670287098,0.3247946983020853,0.2929138442383491,0.3076275315868756,0.18681796108880624,0.26130473648898245,0.2832009393202532,0.24227043687476488,0.3181213066434596,0.24639804041819593,0.2975248563258193,0.25182364332961893,0.2612321924121851,0.023449600180507003,0.10439804972835663,0.3041351545362561,0.3415231815498426,0.1403657089689608,13.031110947054184,0.6885240591735068,0.7102463284577275,0.6523437002531269,0.7434902954908298,0.600819426318818,0.7610399679640794,1.3617768873394926,1.1172490265118633,1.255312279230546,1.1677861939576915,1.2910459308030193,1.627308969779719,1.157759227819507,1.5239098512125384,0.9381725175539798,1.3050855880841852,1.411729514462388,1.5391039976344612,1.811572511878925,1.508626763253463,1.5211685251291416,1.527873606215279,1.3837823846067452,1.4202103485642419,1.3174840588956012,1.7783849674083976,0.4422940783281547,0.44059748647795405,0.44270924302204806,0.4448581089219156,0.44324743567965924,0.4434850146697028,0.43807318912048665,0.4398522787974529,0.44255449733514934,0.44311389869338036,0.44218853958487075,0.4423877934494935,0.44421715687722496,0.4383205587636935,0.4452735022005825,0.4388802511027358,0.4416856486027816,0.4480990843377118,0.4435920200066031,0.4459071953683078,0.4382900518715495,0.4387679530477203,0.442542808263338,0.447768323698677,0.4423555891800527,0.46785993002290077,0.4423292322042499,0.4410318306786446,0.45063414457152273,0.4437017913274677,0.4393372531386713,0.4445839551579058,0.4383144581188324,0.44060344938499546,0.43838154504340765,0.43784054128759625,0.4424726438946482,0.43546274984161754,0.438789208220626,0.43800895792656214,0.4401821789753679,0.44393823151578177,0.438051783223733,0.44248141724786877,0.4391891823202786,0.44271507758592027,0.4386190413889787,0.4379844782427156,0.4408862718096308,0.43753668987979377,0.45051918657519496,0.43751824562458136,0.44263920048715966,0.44328514038291444,0.4389863639051855,0.44389214347130523,0.4401013050105888,0.44270632560663015,0.45093816217343213,0.4414406113080784,0.4422794270872885,0.44119791906160144,0.4436498103024728,0.43829920490203367,0.43878009940921614,0.44235266098401754,0.4451058625532562,0.4398192284371129,0.43879224430830377,0.4414465230874583,0.4462083536799382,0.4377086762900452,0.4395905803261386,0.4393946095214468,0.43853689416003444,0.44096650446211416,0.4510365992189149,0.43859775036584947,0.43909841872405625,0.4436498103024727,0.4421181161294992,0.4512702570735235,0.4414228738156924,0.4434010609104605,0.44144652308745824,0.44977759425303354,0.4436844675017662,0.44271216034847743,0.44063921924503713,0.4420153230007283,0.44286082603887694,0.44224425500547665,0.4419741750864805,0.44384026740756716,0.44229407832815476,0.43969594396656336,0.44585361447290345,0.4439756614162001,0.43798141786870715,0.43888631770482933,0.43806095773058906,0.45191209547765576,0.4444809388037767,0.4422471865032339,0.4428812130822995,0.44810458653790425,0.4437479726399208,0.44964255715419915,0.4422120026379731,0.4436035808959978,0.4434502842148083,0.4439526293961498,0.4438056674699155,0.4397651223413022,0.4401672072954522,0.44743909635446294,0.4436324769281346,0.4382717433344286,0.439255690152828,0.44227649657137796,0.44233508993446424,0.44223545997658104,0.4392859064079689,0.43880438774510455,0.4378160211480221,0.43750594761059325,0.44537280555545533,0.44959930044600016,0.44182707512248653,0.4414406113080784,0.43862512371490453,0.43859775036584947,0.44397854002165726,0.4392133720897457,0.4442516054680287,0.4386524896526677,0.4928350333822959,0.44859564484015935,0.437382886312939,0.44862846683105034,0.4383114076588645,0.4413637254990227,0.4391498615031265,0.45156934097415624,0.4411653168195817,0.4403257919821837,0.4486722103312686,0.44298017392290706,0.43883170513204905,0.4393372531386713,0.4386585699658384,0.438161822757698,0.44363536604493253,0.4483874861033097,0.4421122451855649,0.4459748315635994,0.4438575626074734,0.43877706295594765,0.4424492443641543,0.442138661618968,0.4438979057126254,0.4409011346624976,0.44307612595356455,0.44448952785132523,0.4409902644915956,0.44950189332078266,0.43920127793411473,0.4416355105452226,0.44956684364197913,0.440107297938695,0.4427471613251718,0.43962370660760774,0.44224425500547665,0.4424638697392462,0.4418211864702423,0.4457039857164905,0.4438575626074734,0.4384303076712351,0.44068689217664364,0.4526611830045813,0.4495803687972844,0.45156934097415624,0.4379048786455153,0.443612250634299,0.449083962631807
min,0.0,0.0,0.0,0.0,0.0,0.0,-0.23206454700863652,-0.5540681938867466,-1.9847350282258462,-3.8988536950492003,-0.8452781269337196,-2.87208055446645,-1.135814950966328,-7.109588915495937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1899.0,-1.0,-1.0,-0.9987165071710528,-0.9948693233918952,-0.9749279121818236,-0.9009688679024191,-5.317235469818115,-10.384861946105957,-3.2651522159576416,-8.946449279785156,-6.454081058502197,-9.571212768554688,-3.9569883346557617,-3.9474380016326904,-13.98764419555664,-9.639189720153809,-6.063620090484619,-6.409714221954346,-7.645334879557292,-9.18669319152832,-6.357856750488281,-6.610439300537109,-3.7450310587882996,-3.67970871925354,-6.970730543136597,-7.616694927215576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.302,0.204,0.03765060240963856,1.82e-06,0.0,0.0,-0.2308948377561949,-0.5132963300963653,-0.4633459795771854,-0.7732489853732358,-0.4675563851624391,-0.6117326876301384,-0.5576151430815077,-0.3644769643223063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2008.0,-0.5000000000000004,-0.5000000000000004,-0.5712682150947924,-0.6121059825476627,-0.433883739117558,-0.9009688679024191,-0.8556212253336395,-1.7524240071574846,0.596203165439268,-0.9185991145670414,-0.49987144241458736,0.061737735755741596,1.426134441975349,0.6611643141008071,-1.8357977541244548,-2.4876712889720998,-0.4716823995113373,-1.6767881512641907,-1.0837720415808938,-0.8055344980675727,-0.8254967927932739,-0.03672235531848855,0.0,0.0,-1.2821379899978638,-0.19984112679958344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.574,0.413,0.2901606425702811,0.00351,0.0,1.0,-0.2157964878780338,-0.1463495559829348,0.3218870777898655,0.027782180553489303,-0.35769272065832697,0.1487091701222168,-0.42511102044123655,0.34069448888587023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2017.0,1.2246467991473532e-16,0.5000000000000001,0.20129852008866006,0.34730525284481945,-0.433883739117558,-0.900968867902419,-0.17986704471654125,-1.0474780698052861,1.6506205298937857,-0.09552199445250961,0.0516098327934742,1.2599782111744087,2.247050484952827,1.715696159354411,-1.2610456049442291,-1.521830673673405,0.0,-0.3465387523174286,0.0,0.0,0.0,0.3159804344177246,0.3826093301177025,0.5666256844997406,-0.2283854100265001,0.19100400805473328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75%,0.784,0.655,0.8062248995983936,0.771,0.0,1.0,-0.05005428070569414,0.057509762968971055,1.008966002986035,0.6277639737176648,-0.038564933289239524,0.7885292159552331,0.15308878744358367,0.727677056758585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021.0,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.9189578116202306,0.7818314824680298,0.6234898018587336,0.3847490443537633,-0.2940118058154789,2.548882550187409,0.3533928221149836,0.8542631939053535,2.3126706602051854,2.9501809286219736,2.895656002312899,-0.7599440179765224,-0.4988405229523778,0.8261374466121196,0.0,0.6458395346999168,0.4542731810361147,0.9366904916507857,1.6898497257913863,1.7187589804331462,1.9898237271441355,0.017581963911652565,1.6957007845242817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
max,1.0,1.0,1.0,1.0,1.0,1.0,18.763801144495012,37.32299326737736,2.9229715803182215,4.100903547139807,9.241252595158093,2.3094129314599443,4.887099714500549,2.3181869970198696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2024.0,1.0,1.0,0.9987165071710528,1.0,0.9749279121818236,1.0,14.08071231842041,5.627915859222412,10.667701721191406,9.049156188964844,9.603023529052734,15.498146057128906,10.559280395507812,9.248017311096191,3.489536762237549,6.780194282531738,6.247776508331299,5.3212257623672485,6.178200721740723,7.486703157424927,6.550846576690674,6.270503997802734,6.931513071060181,7.106030464172363,5.865055561065674,6.511591672897339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
