,artist_followers,album_total_tracks,artist_popularity,tempo,chart,energy,key,popularity,mode,time_signature,speechiness,danceability,valence,acousticness,liveness,instrumentalness,loudness
count,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0
mean,1817893.096187618,13.95350672446371,42.19343114371457,119.28126015338447,0.005412915416249861,0.5339286552706459,5.227875958652884,21.54358675113927,0.6266144270312326,3.874919417583639,0.08042286317661446,0.5487599138601755,0.4352932818250528,0.4164363511481605,0.18644069851061468,0.3032097222649772,-10.86782979326442
std,7381787.184966183,24.43804062486523,20.869598753648585,30.538304913702216,0.07337333086389156,0.2887497252225596,3.5583114992426625,19.481956537264097,0.4837045452906065,0.4819404042877394,0.0925442105304257,0.19100183223495248,0.27088118864193206,0.37627296674350275,0.1631394772530761,0.39247671096719094,6.962032589326651
min,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0
25%,5490.0,2.0,28.0,95.518,0.0,0.294,2.0,0.0,0.0,4.0,0.0361,0.423,0.2,0.0381,0.0961,2.43e-06,-13.69225
50%,68000.0,11.0,44.0,119.986,0.0,0.564,5.0,20.0,1.0,4.0,0.0465,0.568,0.407,0.312,0.119,0.00588,-8.776
75%,703811.0,16.0,58.0,138.6225,0.0,0.783,8.0,37.0,1.0,4.0,0.0769,0.693,0.652,0.818,0.217,0.792,-5.996
max,113759927.0,930.0,100.0,249.899,1.0,1.0,11.0,87.0,1.0,5.0,0.963,0.994,1.0,0.996,1.0,1.0,4.142
