,energy,valence,acousticness,instrumentalness,artist_followers,album_total_tracks,artist_popularity,tempo,speechiness,danceability,liveness,loudness,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,time_signature_0.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0,chart,mode,album_release_date_year,album_release_date_month_sin,album_release_date_month_cos,album_release_date_day_sin,album_release_date_day_cos,album_release_date_weekday_sin,album_release_date_weekday_cos,n_vec_0,n_vec_1,n_vec_2,n_vec_3,n_vec_4,n_vec_5,n_vec_6,n_vec_7,n_vec_8,n_vec_9,g_vec_0,g_vec_1,g_vec_2,g_vec_3,g_vec_4,g_vec_5,g_vec_6,g_vec_7,g_vec_8,g_vec_9,available_markets_AD,available_markets_AE,available_markets_AG,available_markets_AL,available_markets_AM,available_markets_AO,available_markets_AR,available_markets_AT,available_markets_AU,available_markets_AZ,available_markets_BA,available_markets_BB,available_markets_BD,available_markets_BE,available_markets_BF,available_markets_BG,available_markets_BH,available_markets_BI,available_markets_BJ,available_markets_BN,available_markets_BO,available_markets_BR,available_markets_BS,available_markets_BT,available_markets_BW,available_markets_BY,available_markets_BZ,available_markets_CA,available_markets_CD,available_markets_CG,available_markets_CH,available_markets_CI,available_markets_CL,available_markets_CM,available_markets_CO,available_markets_CR,available_markets_CV,available_markets_CW,available_markets_CY,available_markets_CZ,available_markets_DE,available_markets_DJ,available_markets_DK,available_markets_DM,available_markets_DO,available_markets_DZ,available_markets_EC,available_markets_EE,available_markets_EG,available_markets_ES,available_markets_ET,available_markets_FI,available_markets_FJ,available_markets_FM,available_markets_FR,available_markets_GA,available_markets_GB,available_markets_GD,available_markets_GE,available_markets_GH,available_markets_GM,available_markets_GN,available_markets_GQ,available_markets_GR,available_markets_GT,available_markets_GW,available_markets_GY,available_markets_HK,available_markets_HN,available_markets_HR,available_markets_HT,available_markets_HU,available_markets_ID,available_markets_IE,available_markets_IL,available_markets_IN,available_markets_IQ,available_markets_IS,available_markets_IT,available_markets_JM,available_markets_JO,available_markets_JP,available_markets_KE,available_markets_KG,available_markets_KH,available_markets_KI,available_markets_KM,available_markets_KN,available_markets_KR,available_markets_KW,available_markets_KZ,available_markets_LA,available_markets_LB,available_markets_LC,available_markets_LI,available_markets_LK,available_markets_LR,available_markets_LS,available_markets_LT,available_markets_LU,available_markets_LV,available_markets_LY,available_markets_MA,available_markets_MC,available_markets_MD,available_markets_ME,available_markets_MG,available_markets_MH,available_markets_MK,available_markets_ML,available_markets_MN,available_markets_MO,available_markets_MR,available_markets_MT,available_markets_MU,available_markets_MV,available_markets_MW,available_markets_MX,available_markets_MY,available_markets_MZ,available_markets_NA,available_markets_NE,available_markets_NG,available_markets_NI,available_markets_NL,available_markets_NO,available_markets_NP,available_markets_NR,available_markets_NZ,available_markets_OM,available_markets_PA,available_markets_PE,available_markets_PG,available_markets_PH,available_markets_PK,available_markets_PL,available_markets_PR,available_markets_PS,available_markets_PT,available_markets_PW,available_markets_PY,available_markets_QA,available_markets_RO,available_markets_RS,available_markets_RW,available_markets_SA,available_markets_SB,available_markets_SC,available_markets_SE,available_markets_SG,available_markets_SI,available_markets_SK,available_markets_SL,available_markets_SM,available_markets_SN,available_markets_SR,available_markets_ST,available_markets_SV,available_markets_SZ,available_markets_TD,available_markets_TG,available_markets_TH,available_markets_TJ,available_markets_TL,available_markets_TN,available_markets_TO,available_markets_TR,available_markets_TT,available_markets_TV,available_markets_TW,available_markets_TZ,available_markets_UA,available_markets_UG,available_markets_US,available_markets_UY,available_markets_UZ,available_markets_VC,available_markets_VE,available_markets_VN,available_markets_VU,available_markets_WS,available_markets_XK,available_markets_ZA,available_markets_ZM,available_markets_ZW
count,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0
mean,0.5339286552706459,0.4352932818250528,0.41810878629333387,0.3032097222649772,0.07149096684723749,-0.02592958210912557,0.08599478038572449,0.0048491554231789484,-0.0037971308865123545,0.005850537642891189,-0.012898533666858468,0.006164599384984173,0.12011781705012782,0.0925030565744137,0.10637434700455707,0.03669556518839613,0.07365232855396243,0.08890185617428031,0.06215405135045015,0.11459375347338002,0.06306546626653328,0.0988051572746471,0.06993442258530622,0.07320217850394575,0.0006391019228631766,0.012343003223296654,0.10604645993108815,0.8604201400466822,0.0205512948760698,0.005412915416249861,0.6266144270312326,2012.2600255640768,0.05598087367621427,0.14351248889807303,0.02948750338485928,0.14881940856820733,-0.007199977441081987,-0.23126841377859922,-0.1668730425763778,-0.7431144711483217,1.902755424941172,-0.17008155664039062,0.03965098546216701,1.3766493546365026,2.3278602894438816,1.8360531184701163,-1.1541271883079252,-1.3712218256768627,0.00388111586416436,-0.6633406949309083,0.0842448181658991,0.07182825885026115,0.011203773028647218,0.48934382551709454,1.0041038653490235,0.8733084916856988,-0.432667821309246,0.40097067890625493,0.7207680337890408,0.724969434255863,0.719078581749472,0.715677448038235,0.7189063021007003,0.7185839724352562,0.7278092697565856,0.726053128820718,0.7206124263643436,0.7189841058130488,0.720545737468045,0.719895520729132,0.716644437034567,0.7295487384683783,0.7164888296098699,0.7273757919306435,0.7226408802934311,0.7087862620873625,0.7181893964654885,0.7151550516838946,0.7274924974991663,0.7264421473824608,0.7196732244081361,0.7112537512504168,0.7199566522174058,0.6682838724019118,0.7194175836389908,0.7212848727353562,0.7034900522396355,0.718000444592642,0.726975658552851,0.7161720573524508,0.7274313660108925,0.7241302656441035,0.7272035122818717,0.7280815827498055,0.7198177170167833,0.7338724019117484,0.7276647771479382,0.72918750694676,0.7259586528842947,0.7177225741913972,0.729243081027009,0.7195065021673891,0.7259697677003446,0.7206735578526176,0.7266866733355563,0.7294375903078804,0.7245081693897966,0.7301267089029676,0.7050294542625319,0.7300822496387684,0.7199622096254307,0.7185561853951317,0.7278592864288096,0.7177781482716461,0.7263143269978882,0.7191952873179949,0.7051239301989553,0.7220462376347672,0.7204012448593976,0.7228576192064021,0.7181004779370901,0.7286373235522952,0.7263143269978882,0.7201011448260531,0.7155107257974881,0.7256696676670001,0.7263143269978882,0.7219906635545181,0.7119484272535289,0.729620984772702,0.7258586195398467,0.7275814160275648,0.7276369901078137,0.7236356563298877,0.703351117039013,0.7280704679337557,0.727570301211515,0.7176558852950984,0.72189063021007,0.7022840946982327,0.7220962543069912,0.7185728576192064,0.7224519284205846,0.70675225075025,0.7180449038568412,0.719139713237746,0.7235522952095143,0.7218628431699455,0.7196398799599867,0.7207291319328665,0.7222907635878626,0.7172112926531066,0.7207180171168167,0.7258475047237968,0.7137156830054463,0.7174891630543514,0.7294709347560298,0.7281760586862287,0.7292541958430588,0.7012393019895521,0.7169389796598866,0.7210903634544849,0.7193175502945426,0.7072190730243414,0.7179170834722686,0.707135711903968,0.72054018006002,0.7181060353451151,0.7186562187395799,0.7171779482049572,0.7178003779037457,0.7260308991886184,0.7243747915971991,0.711731688340558,0.7180782483049906,0.72621429365344,0.7268978548405024,0.7202789818828499,0.720106702234078,0.7204457041235968,0.7262309658775147,0.7262976547738135,0.730376792264088,0.7302934311437146,0.7158330554629321,0.7072190730243414,0.7221240413471157,0.7232132933199955,0.7267366900077804,0.7267700344559298,0.7175502945426253,0.7266644437034567,0.7176058686228743,0.7277481382683116,0.5890407913749027,0.7081027009003001,0.7303156607758141,0.7096476603312215,0.727459153051017,0.7233744581527176,0.7267700344559298,0.6998721796154274,0.7228909636545515,0.7254362565299545,0.7096143158830721,0.7191285984216961,0.728970768033789,0.7262087362454152,0.7274980549071913,0.7288429476492164,0.7180726908969657,0.7096698899633211,0.72108480604646,0.7138546182060687,0.7177392464154718,0.7264532621985106,0.7198621762809826,0.7206068689563188,0.7177670334555963,0.7235578526175391,0.7193231077025676,0.7161609425364011,0.7241024786039791,0.7073191063687896,0.7261976214293654,0.7214515949761031,0.7072968767366901,0.7247415805268422,0.7196954540402356,0.7258475047237968,0.7204734911637213,0.7164388129376459,0.7208680671334889,0.7155107257974881,0.7172279648771813,0.7271479382016227,0.723946871179282,0.7018950761364899,0.7071190396798933,0.6998721796154274,0.7290096698899633,0.7182838724019117,0.7062298543959098
std,0.2887497252225596,0.27088118864193206,0.37778410315612726,0.39247671096719094,1.232625948581001,0.996384463660807,1.0242186772094422,0.9994232772769003,0.9683091521440577,1.0016950906127657,0.9825751500641519,1.0083028626613595,0.32510016062796715,0.2897355822554612,0.3083170017816675,0.18801382165631372,0.2612049812381283,0.28460282199275827,0.2414358076165005,0.31853192776748235,0.24308134772181383,0.2984010606883541,0.2550371749349389,0.26046880159242375,0.025272455778877517,0.1104115992255271,0.30789792970359725,0.34655156915279406,0.14187688684326388,0.07337333086389156,0.4837045452906065,12.686825395691711,0.6880304825893211,0.7091472258305933,0.6504452687412651,0.7442510683059069,0.6050921599204606,0.7617951293009977,1.3700108124453645,0.9742228659434716,1.4210654160811063,1.229862788138647,1.2694979990389574,1.6339249013503623,1.1841839194923918,1.385249498495535,1.047967340437244,1.2019517683611407,1.4336884164652486,1.5829793193090071,1.8321587513072983,1.5011096116839628,1.5381330470147134,1.4722251547278955,1.2145123426610471,1.3986393595939834,1.342922230941292,1.7038827004333528,0.44862299735443184,0.4465309191326113,0.4494504395889774,0.45109241764119806,0.4495343746011239,0.44969119496109566,0.44508879738535245,0.44598328256210257,0.44869953890514214,0.4494964785839228,0.4487323219116583,0.44905131176555735,0.4506288011482976,0.44419418410338096,0.450703578365082,0.4453103988067578,0.4476964957484231,0.4543230611196035,0.4498827759082486,0.45134181706479853,0.4452507892503868,0.44578588838707484,0.4491601002496538,0.4531809725972082,0.44902137101810874,0.47083093596902287,0.44928503846889084,0.448368288717146,0.45671978047341943,0.4499743674970096,0.4455144817807493,0.4508555991430342,0.4452820181137719,0.4469527203268321,0.44539832339551066,0.4449493138160609,0.44908940324924235,0.44193300964332727,0.4451627236830341,0.44438067476449095,0.44603115675762545,0.45010888305748786,0.44435200810199293,0.4492416021377648,0.4460255258047092,0.4486694770037265,0.4456615934905301,0.4442516054680286,0.4467630144945685,0.44389502463610386,0.456030786927865,0.4439180707766583,0.4490186486202797,0.44970470058044665,0.4450631937224893,0.45008199688574135,0.4458507935546868,0.44939353395594084,0.45598829895691934,0.44799172280863553,0.4488033095489205,0.4475886447490565,0.44992589003978756,0.44466400025559594,0.4458507935546869,0.4489505609513829,0.4511720938970222,0.4461774394030018,0.4458507935546869,0.4480192638543238,0.4528564937068447,0.444156841319987,0.4460818196727635,0.4452053465542728,0.44517693349463067,0.4472004076853616,0.4567816576322821,0.44495501114123204,0.44521102811614705,0.4501411352870947,0.44806881610048477,0.45725518803815346,0.44796692852503434,0.4496965974635479,0.44779041290831756,0.4552523021450948,0.4499528253508876,0.4494206365547602,0.4472420853741095,0.44808257567750465,0.44917640676099413,0.4486421390261576,0.44787044016378597,0.4503558387537373,0.4486476073056578,0.44608744714567505,0.45202515678288674,0.45022171253533316,0.44423438275797766,0.4449008723950798,0.44434627371348634,0.4577159682963392,0.45048707741373667,0.4484642336846991,0.4493338782894883,0.45504000538376266,0.45001474440268424,0.4550779579047071,0.44873505327338625,0.4499231960424417,0.4496560704161238,0.45037191969481977,0.4500712400459041,0.4459945493415131,0.44683001518639576,0.45295787041455315,0.44993666518143927,0.4459015567547394,0.4455541119963975,0.44886333091233893,0.44894783633551877,0.44878147334996304,0.44589309818120126,0.44585925604798166,0.44376528479962174,0.44380855128383,0.4510179848321355,0.45504000538376266,0.44795315091689564,0.4474113746320763,0.4456361487343007,0.44561918163746184,0.4501921763879838,0.44567290000298326,0.45016531645943053,0.4451200811186287,0.4920092303709596,0.4546365741591832,0.4437970154981818,0.4539262094394098,0.44526782448782626,0.44733093287845616,0.44561918163746184,0.4583146071881194,0.4475720406651723,0.44629541916097953,0.4539416083076668,0.4494260560537429,0.44449239069132557,0.4459043761050682,0.44524794973800036,0.44455821174836146,0.44993935875492663,0.4539159418761943,0.44846697342825176,0.45195944228312906,0.45010081809508257,0.44578024228078006,0.44906763873339334,0.4487022712924091,0.4500873747975346,0.44723930746575674,0.4493311656896419,0.4508609282329701,0.44696665349668213,0.45499443801953743,0.44591001454446005,0.44828596665629383,0.4550045663954411,0.4466456432593697,0.44914922753793257,0.44608744714567505,0.448767822949355,0.45072759985541405,0.4485737566705746,0.45117209389702223,0.4503477971420322,0.4454266682494757,0.44704463930455945,0.4574270882461439,0.4550855461966943,0.4583146071881194,0.44447234896487114,0.44983694335719426,0.4554891877459975
min,0.0,0.0,0.0,0.0,-0.23206454700863652,-0.5540681938867466,-1.9847350282258462,-3.8988536950492003,-0.8452781269337196,-2.87208055446645,-1.135814950966328,-7.109588915495937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1899.0,-1.0,-1.0,-0.9987165071710528,-0.9948693233918952,-0.9749279121818236,-0.9009688679024191,-6.6936540603637695,-10.202159881591797,-6.2561845779418945,-8.321020126342773,-5.384519577026367,-8.729703903198242,-2.2051825523376465,-4.368403434753418,-14.850189208984375,-9.889798164367676,-5.6791229248046875,-6.289481163024902,-7.728861331939697,-7.6371846199035645,-5.366928577423096,-5.942420482635498,-3.3927578926086426,-3.6703248023986816,-7.517223119735718,-7.4701642990112305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.294,0.2,0.03825301204819277,2.43e-06,-0.23114781556025615,-0.5132963300963653,-0.6105771778335074,-0.7728480811586358,-0.4675563851624391,-0.6536881004716478,-0.5570128516149611,-0.4028928049391618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2009.0,-0.5000000000000004,-0.5000000000000004,-0.5712682150947924,-0.6121059825476627,-0.433883739117558,-0.9009688679024191,-1.0394481202065535,-1.1705658435821533,0.8063426114735194,-0.7832234812279543,-0.7592914080646421,0.07857504673302174,1.5711789704083154,0.7398869273252785,-1.541240930557251,-2.2191537784257283,-0.7893101481720806,-1.6318013668060303,-0.8397418856620789,-0.673690564581193,-0.8484612355629604,-0.08497773855924606,0.0,0.0,-1.126899355649948,-0.3125700155893962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.564,0.407,0.3132530120481928,0.00588,-0.22070976768443523,-0.1463495559829348,0.17465587953354342,0.027913088052134348,-0.3587390412726519,0.10675375728070749,-0.41908810577576966,0.30912180932140476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2017.0,1.2246467991473532e-16,0.5000000000000001,0.20129852008866006,0.34730525284481945,-0.433883739117558,-0.900968867902419,-0.3041627649217844,-0.5815942377870919,1.996142759253936,-0.04070605834325155,-0.06360606787105402,1.2609469778835773,2.3774752890070276,1.749642351642251,-0.9730769696068906,-1.3154432877587774,0.0,-0.33395196519614684,0.0,0.0,0.0,0.16689715906977654,0.7470359563827514,0.4410296380519867,-0.050601065158843994,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75%,0.783,0.652,0.821285140562249,0.792,-0.11454074420061544,0.057509762968971055,0.8617348047297129,0.6378274876759908,-0.04065757451788934,0.7623070829292898,0.17115753143998433,0.7117458881710106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2021.0,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.9189578116202306,0.7818314824680298,0.6234898018587336,0.3105059489607811,-0.11145412566309626,2.9529938000099114,0.6071770142298192,0.6170709868601989,2.388994015442828,3.0826079323887825,2.7834917898871936,-0.5189343018146853,-0.40038445591926575,0.6438093185424805,0.0,0.8103736639022827,0.6826590858399868,0.8648893907666206,1.4692327976226807,1.7786145210266113,1.8944861045107246,0.17217864096164703,1.5480973770221074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
max,1.0,1.0,1.0,1.0,18.763801144495012,37.32299326737736,2.9229715803182215,4.279559555915415,9.230789389014843,2.3408794910910764,4.887099714500549,2.180020316723998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2024.0,1.0,1.0,0.9987165071710528,1.0,0.9749279121818236,1.0,11.965808868408203,3.8474488258361816,11.199069023132324,11.579233169555664,8.148300170898438,14.121940612792969,10.303712844848633,8.341416358947754,3.198099136352539,5.970797538757324,6.531465530395508,4.951347470283508,7.082614421844482,7.675236463546753,6.373379230499268,6.8498125076293945,7.197867155075073,6.69968843460083,5.055768966674805,6.413727760314941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
