,energy,valence,acousticness,instrumentalness,chart,mode,artist_followers,album_total_tracks,artist_popularity,tempo,speechiness,danceability,liveness,loudness,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,time_signature_0.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0,album_release_date_year,album_release_date_month_sin,album_release_date_month_cos,album_release_date_day_sin,album_release_date_day_cos,album_release_date_weekday_sin,album_release_date_weekday_cos,n_vec_0,n_vec_1,n_vec_2,n_vec_3,n_vec_4,n_vec_5,n_vec_6,n_vec_7,n_vec_8,n_vec_9,g_vec_0,g_vec_1,g_vec_2,g_vec_3,g_vec_4,g_vec_5,g_vec_6,g_vec_7,g_vec_8,g_vec_9,available_markets_AD,available_markets_AE,available_markets_AG,available_markets_AL,available_markets_AM,available_markets_AO,available_markets_AR,available_markets_AT,available_markets_AU,available_markets_AZ,available_markets_BA,available_markets_BB,available_markets_BD,available_markets_BE,available_markets_BF,available_markets_BG,available_markets_BH,available_markets_BI,available_markets_BJ,available_markets_BN,available_markets_BO,available_markets_BR,available_markets_BS,available_markets_BT,available_markets_BW,available_markets_BY,available_markets_BZ,available_markets_CA,available_markets_CD,available_markets_CG,available_markets_CH,available_markets_CI,available_markets_CL,available_markets_CM,available_markets_CO,available_markets_CR,available_markets_CV,available_markets_CW,available_markets_CY,available_markets_CZ,available_markets_DE,available_markets_DJ,available_markets_DK,available_markets_DM,available_markets_DO,available_markets_DZ,available_markets_EC,available_markets_EE,available_markets_EG,available_markets_ES,available_markets_ET,available_markets_FI,available_markets_FJ,available_markets_FM,available_markets_FR,available_markets_GA,available_markets_GB,available_markets_GD,available_markets_GE,available_markets_GH,available_markets_GM,available_markets_GN,available_markets_GQ,available_markets_GR,available_markets_GT,available_markets_GW,available_markets_GY,available_markets_HK,available_markets_HN,available_markets_HR,available_markets_HT,available_markets_HU,available_markets_ID,available_markets_IE,available_markets_IL,available_markets_IN,available_markets_IQ,available_markets_IS,available_markets_IT,available_markets_JM,available_markets_JO,available_markets_JP,available_markets_KE,available_markets_KG,available_markets_KH,available_markets_KI,available_markets_KM,available_markets_KN,available_markets_KR,available_markets_KW,available_markets_KZ,available_markets_LA,available_markets_LB,available_markets_LC,available_markets_LI,available_markets_LK,available_markets_LR,available_markets_LS,available_markets_LT,available_markets_LU,available_markets_LV,available_markets_LY,available_markets_MA,available_markets_MC,available_markets_MD,available_markets_ME,available_markets_MG,available_markets_MH,available_markets_MK,available_markets_ML,available_markets_MN,available_markets_MO,available_markets_MR,available_markets_MT,available_markets_MU,available_markets_MV,available_markets_MW,available_markets_MX,available_markets_MY,available_markets_MZ,available_markets_NA,available_markets_NE,available_markets_NG,available_markets_NI,available_markets_NL,available_markets_NO,available_markets_NP,available_markets_NR,available_markets_NZ,available_markets_OM,available_markets_PA,available_markets_PE,available_markets_PG,available_markets_PH,available_markets_PK,available_markets_PL,available_markets_PR,available_markets_PS,available_markets_PT,available_markets_PW,available_markets_PY,available_markets_QA,available_markets_RO,available_markets_RS,available_markets_RW,available_markets_SA,available_markets_SB,available_markets_SC,available_markets_SE,available_markets_SG,available_markets_SI,available_markets_SK,available_markets_SL,available_markets_SM,available_markets_SN,available_markets_SR,available_markets_ST,available_markets_SV,available_markets_SZ,available_markets_TD,available_markets_TG,available_markets_TH,available_markets_TJ,available_markets_TL,available_markets_TN,available_markets_TO,available_markets_TR,available_markets_TT,available_markets_TV,available_markets_TW,available_markets_TZ,available_markets_UA,available_markets_UG,available_markets_US,available_markets_UY,available_markets_UZ,available_markets_VC,available_markets_VE,available_markets_VN,available_markets_VU,available_markets_WS,available_markets_XK,available_markets_ZA,available_markets_ZM,available_markets_ZW
count,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0
mean,0.5334963680076693,0.438292359620429,0.4214975690764057,0.30546466570934755,0.004045793042125153,0.6298210514615983,-2.0533634689077033e-18,2.91419661548824e-17,-6.002139370653286e-17,-6.491392704879564e-16,1.4555187973834218e-16,1.6430856527163372e-16,1.191740567146817e-16,-3.8713798940713694e-16,0.11973991330443481,0.09105813048794043,0.1071301544959431,0.03685673002111815,0.07393019895520729,0.08892408580637991,0.061075914193620094,0.11667778148271646,0.06359342002889852,0.09827720351228188,0.06888962987662554,0.07384683783483384,0.0006891185950872514,0.012343003223296654,0.10824719350894743,0.8573468934089141,0.021373791263754584,2012.206040902523,0.05999297007503357,0.14498925216810998,0.028572467817852137,0.15404964936555854,-0.0011433750779706875,-0.22292045845088404,0.041808212601689404,-1.0816403167072308,1.60498325651331,-0.28398762919253023,0.3503293425490715,1.2234881551149885,2.0981879183194487,1.741509590944935,-1.2923939366175365,-1.5234761652333695,0.19269048635650404,-0.7126967676231554,0.08438307608809417,-0.00447245106080434,0.10651949153606079,0.522288255317845,0.7525077414626337,0.8068093377178454,-0.5418318890379975,0.40115688938232485,0.708430587973769,0.713410025564077,0.7070190063354451,0.7037067911526064,0.7071079248638436,0.7061742803156608,0.7158274980549072,0.7146270979215295,0.7080582416361009,0.7073857952650884,0.7085861953984661,0.7080360120040013,0.7041569412026231,0.7175336223185507,0.7048794042458597,0.715355118372791,0.7110592419695454,0.6962654218072691,0.7057685895298432,0.7035511837279093,0.7155440702456375,0.7145770812493053,0.707619206402134,0.699616538846282,0.707730354562632,0.6601422696454373,0.7076247638101589,0.7096309881071469,0.69108036012004,0.7056185395131711,0.7154218072690897,0.703840168945204,0.7152661998443925,0.7117261309325331,0.7152161831721685,0.7158997443592309,0.7073635656329887,0.7218183839057464,0.7157219073024341,0.7173780148938536,0.7146604423696787,0.7053851283761253,0.7173168834055796,0.7074135823052129,0.7136601089251973,0.7089863287762588,0.7145826386573302,0.7175669667667001,0.7128264977214627,0.7179782149605424,0.6932699788818495,0.7180560186728909,0.7076581082583083,0.7062854284761587,0.7159386462154052,0.7054851617205735,0.7146659997777037,0.7071079248638436,0.6944814938312771,0.7100589085250639,0.7080804712682005,0.7103979104145827,0.7056796710014449,0.7165888629543181,0.7140046682227409,0.7075858619539847,0.7045237301322663,0.7137323552295209,0.714054684894965,0.710325664110259,0.6994887184617095,0.7177559186395465,0.7141047015671891,0.7157997110147827,0.715566299877737,0.711781705012782,0.6912192953206624,0.7161776147604757,0.715516283205513,0.7054351450483495,0.7100866955651884,0.6911692786484384,0.7102256307658108,0.7066744470379015,0.7104812715349561,0.6951039235300656,0.7056074246971212,0.7070745804156942,0.7121262643103257,0.7102812048460598,0.7077636990107814,0.7084639324219184,0.7106757808158275,0.7047738134933866,0.7086028676225409,0.7138768478381683,0.7015949761031455,0.7052739802156275,0.7175780815827498,0.7163443370012226,0.7172890963654551,0.6893186617761476,0.7051517172390797,0.7085806379904412,0.7076080915860843,0.694375903078804,0.7055185061687229,0.6955818606202068,0.7084528176058686,0.7056963432255197,0.7064076914527064,0.7049238635100589,0.7053184394798266,0.7141158163832388,0.7118761809492052,0.7001556074246971,0.7057519173057686,0.7140880293431143,0.7147660331221518,0.7077970434589308,0.7079193064354785,0.7081027009003001,0.7140935867511393,0.7140102256307658,0.7182005112815383,0.7182505279537623,0.7040513504501501,0.6956485495165055,0.7099366455485162,0.7116483272201845,0.7145492942091808,0.7146659997777037,0.7052295209514282,0.7147882627542514,0.7051017005668556,0.7158997443592309,0.5865010559075248,0.6961376014226964,0.7183727909303101,0.6980048905190619,0.7154829387573636,0.7118650661331555,0.7148771812826498,0.6872346337668112,0.7104479270868067,0.7138657330221185,0.6980771368233856,0.7069689896632211,0.7171390463487829,0.7140935867511393,0.7154607091252639,0.717083472268534,0.7056907858174947,0.6979604312548627,0.708758475047238,0.7025175058352784,0.7051517172390797,0.7141936200955874,0.7075080582416361,0.7082583083249973,0.7054740469045238,0.7116038679559853,0.7072802045126153,0.7034789374235857,0.7121707235745248,0.6957708124930533,0.7144603756807825,0.7099144159164166,0.6956930087807047,0.7129654329220851,0.7073135489607647,0.7139935534066911,0.7081304879404245,0.7040735800822496,0.7093197732577526,0.7041124819384239,0.7046960097810381,0.7151217072357452,0.7117372457485829,0.6909247526953429,0.6954984994998332,0.6872346337668112,0.7167166833388907,0.7058797376903412,0.6940646882294098
std,0.2882880883528064,0.27194803380093036,0.3775582559391276,0.3924934658333898,0.06347792525017262,0.4828537980536198,1.0000027787155943,1.0000027787155943,1.0000027787155945,1.0000027787155943,1.000002778715594,1.0000027787155943,1.0000027787155943,1.0000027787155943,0.32465805431705846,0.2876925569597037,0.3092795112530146,0.18841047941387434,0.2616579926642103,0.2846349293650456,0.2394701768362045,0.32103683521256327,0.24402792442568244,0.29768991799458994,0.25326706309271263,0.26152220263149695,0.026242094766700867,0.1104115992255271,0.31069321695928476,0.34971971271798263,0.1446273437336546,12.567111376554005,0.6870778074068893,0.709442363744396,0.6494041633623366,0.744131690789665,0.6084697639468595,0.7616265420288442,1.30882272053622,1.0767252184956024,1.210572844685054,1.1055019289033086,1.2530038136923256,1.5911334512955129,1.1505423456928758,1.4867974468863667,0.8807592775267209,1.2689241099710555,1.3474967665793016,1.4881821064979939,1.8041404459820405,1.511017630704792,1.4879043332527013,1.459843146509593,1.3336330997525092,1.3843772708237214,1.3044688410274885,1.6889190185217229,0.45448634514481834,0.452169544796379,0.45513106046630264,0.456623150950554,0.45509060464839757,0.4555143458348561,0.4510206442827162,0.45159311575271704,0.45465692216804193,0.45496404502206256,0.4544149498583334,0.45466709420068907,0.4564220646333255,0.45020023271630527,0.4560982194647568,0.4512463901334041,0.453271594275744,0.4598706986636045,0.4556977524815144,0.4566925384773206,0.45115616470048225,0.45161688374029735,0.4548575765392805,0.45842600856933224,0.45480682639881453,0.4736620106246408,0.4548550398117957,0.4539339092450086,0.46204922078124827,0.45576547763661124,0.4512145569582745,0.45656362532291717,0.4512888155440334,0.452960468155278,0.45131267038611383,0.45098606486023013,0.45497417733293577,0.4481045865379043,0.4510711578552508,0.4502753883944305,0.4515772666549627,0.455870709710463,0.45030489569569876,0.4549513777886972,0.45205142795167164,0.45423106567210625,0.45161424318811216,0.4501841192980429,0.4524444932834212,0.44998513653608574,0.4611376118190089,0.44994743896679246,0.45483981772382154,0.45546402148651566,0.45096743927892835,0.4558256278603186,0.4515746248452106,0.45509060464839757,0.46062797105428227,0.45373604561287756,0.4546467488209026,0.4535789486298902,0.4557378930853381,0.45065551488951733,0.4518884119105355,0.45487279518124846,0.45625782262344305,0.45201727380213524,0.45186472156573937,0.4536124541197256,0.45848164565638777,0.45009275237059365,0.451841024442201,0.45103394027326543,0.45114554355447983,0.45293448700909006,0.46199173937425486,0.45085293447168967,0.4511694392411263,0.4558481720866816,0.45372318038730547,0.4620124383177431,0.45365882325692214,0.45528762877882145,0.4535402710731042,0.46036467809333853,0.455770491949267,0.4551057780374447,0.4527732183757416,0.4536330659336403,0.4547915949553603,0.45447105158428003,0.45344995101380103,0.4561456364263785,0.4544072965375412,0.4519489231128974,0.45755942686432816,0.45592076968492756,0.4501787474816068,0.4507729551470577,0.45031830472281087,0.46277384808971195,0.4559757980160688,0.45441750080068816,0.45486264974811014,0.46067253845971334,0.455810594707492,0.46016183302338753,0.4544761497668044,0.45573036831295205,0.4554086269483854,0.45607824563984256,0.45590074960651494,0.45183575749407073,0.4528902999891353,0.458190898570209,0.45570528043564984,0.4518489242366398,0.45152705792997033,0.4547763605569258,0.4547204758096988,0.4546365741591831,0.45184629105552576,0.4518857799847221,0.4498773851155501,0.44985312235052444,0.4564692808331918,0.4601334824832854,0.4537926280586355,0.4529968278024352,0.4516300852438623,0.4515746248452106,0.4559407845489772,0.4515164838141168,0.4559982982437039,0.45098606486023013,0.4924620950930622,0.4599252296552491,0.44979378444487966,0.4591244219224935,0.45118536591541825,0.4528954997087491,0.4514741739286458,0.4636209512650031,0.4535557443301816,0.4519541828652902,0.4590932576110769,0.4551538076498489,0.45039067694697055,0.4518462910555259,0.4511959820169243,0.4504174658380328,0.45573287665198875,0.4591435932585287,0.4543358298240749,0.4571518579868762,0.4559757980160688,0.45179887948162556,0.45490829386091514,0.4545653147114817,0.45583063825904285,0.45301759743393444,0.45501216181670434,0.45672473250994955,0.45275238623513453,0.4600814768494389,0.4516723159746375,0.45380291147905205,0.4601145757827836,0.45237911278751614,0.45499697023646957,0.4518936755111386,0.4546238539832707,0.4564593430163253,0.4540775026194944,0.45644194871108257,0.45618055644692024,0.4513577109700977,0.4529552725907446,0.4621135418776806,0.46019725515217624,0.4636209512650031,0.45059406066987956,0.45564754735221186,0.46080372919809254
min,0.0,0.0,0.0,0.0,0.0,0.0,-0.23206454700863652,-0.5540681938867466,-1.9847350282258462,-3.8988536950492003,-0.8452781269337196,-2.87208055446645,-1.135814950966328,-7.109588915495937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1899.0,-1.0,-1.0,-0.9987165071710528,-0.9948693233918952,-0.9749279121818236,-0.9009688679024191,-5.023252487182617,-9.942835807800293,-2.041337490081787,-7.511074376106262,-5.404683589935303,-6.453795591990153,-2.4055042266845703,-4.031762599945068,-8.232345724105835,-7.894527316093445,-6.063620090484619,-6.409714221954346,-7.645334879557292,-9.18669319152832,-6.357856750488281,-6.610439300537109,-3.7450310587882996,-3.67970871925354,-6.970730543136597,-7.616694927215576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.292,0.202,0.03965863453815261,2.65e-06,0.0,0.0,-0.23118839219813528,-0.47252446630598416,-0.7087313100043887,-0.7860697385217692,-0.4675563851624391,-0.6536881004716478,-0.5558082686818677,-0.4128497853063956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2009.0,-0.5000000000000004,-0.5000000000000004,-0.5712682150947924,-0.6121059825476627,-0.433883739117558,-0.9009688679024191,-0.7803105466466929,-1.6926786303520203,0.5441181464120746,-0.7930528813563852,-0.43236706135794517,0.03315690788440406,1.2861537891957495,0.533981028074777,-1.7525490839880975,-2.4456070111620996,-0.28900553782780963,-1.6303706566492717,-0.8025173660781648,-0.6825488191097975,-0.6849457882344723,0.0,0.0,0.0,-1.166881024837494,-0.2107073962688446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.563,0.412,0.3232931726907631,0.00666,0.0,1.0,-0.2229486629958895,-0.1463495559829348,0.07650174736266208,0.027520365556199675,-0.3597853618869768,0.10150933067551882,-0.41306519111030277,0.2950734152032711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2016.0,0.49999999999999994,0.5000000000000001,0.20129852008866006,0.34730525284481945,-0.433883739117558,-0.900968867902419,-0.10527461562305689,-0.9846549169583754,1.5828187683453927,-0.06630343943834305,0.09409713000059128,1.1492287007160484,2.141553635398547,1.5341933819931,-1.1900326430797576,-1.477701920058046,0.0,-0.24596967920660973,0.0,0.0,0.0,0.10247016698122025,0.2641732841730118,0.36556999385356903,-0.10843917541205883,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75%,0.782,0.657,0.822289156626506,0.794,0.0,1.0,-0.14829904582312475,0.057509762968971055,0.7145036064733908,0.6320184674236234,-0.045889177589513726,0.7518182297189124,0.18922627543638498,0.7018975294077828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021.0,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.9189578116202306,0.7818314824680298,0.6234898018587336,0.43712080738623627,-0.24545543214771895,2.472952753627165,0.36760040698572993,0.9188991859555244,2.2030553982282677,2.8657546639442444,2.7219636836851184,-0.7049089926294982,-0.4554104059934616,0.8042128483454386,0.0,0.7551795244216919,0.4528043170770009,0.8587367045027869,1.5337216850708832,1.5198757559061051,1.7902930974960327,0.0,1.480278023518622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
max,1.0,1.0,1.0,1.0,1.0,1.0,18.763801144495012,37.32299326737736,2.9229715803182215,4.053711393878325,9.272642213587838,2.3461239176962647,4.887099714500549,2.0427226092601756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2024.0,1.0,1.0,0.9987165071710528,1.0,0.9749279121818236,1.0,9.791929244995117,3.440730502208074,8.189824104309082,5.435079574584961,8.600485801696777,9.369976997375488,10.51546573638916,8.471722602844238,3.489536762237549,4.398874759674072,6.247776508331299,5.3212257623672485,6.178200721740723,7.486703157424927,6.550846576690674,6.270503997802734,6.931513071060181,7.106030464172363,5.865055561065674,6.511591672897339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
