,energy,valence,acousticness,instrumentalness,chart,mode,artist_followers,album_total_tracks,artist_popularity,tempo,speechiness,danceability,liveness,loudness,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,time_signature_0.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0,album_release_date_year,album_release_date_month_sin,album_release_date_month_cos,album_release_date_day_sin,album_release_date_day_cos,album_release_date_weekday_sin,album_release_date_weekday_cos,n_vec_0,n_vec_1,n_vec_2,n_vec_3,n_vec_4,n_vec_5,n_vec_6,n_vec_7,n_vec_8,n_vec_9,g_vec_0,g_vec_1,g_vec_2,g_vec_3,g_vec_4,g_vec_5,g_vec_6,g_vec_7,g_vec_8,g_vec_9,available_markets_AD,available_markets_AE,available_markets_AG,available_markets_AL,available_markets_AM,available_markets_AO,available_markets_AR,available_markets_AT,available_markets_AU,available_markets_AZ,available_markets_BA,available_markets_BB,available_markets_BD,available_markets_BE,available_markets_BF,available_markets_BG,available_markets_BH,available_markets_BI,available_markets_BJ,available_markets_BN,available_markets_BO,available_markets_BR,available_markets_BS,available_markets_BT,available_markets_BW,available_markets_BY,available_markets_BZ,available_markets_CA,available_markets_CD,available_markets_CG,available_markets_CH,available_markets_CI,available_markets_CL,available_markets_CM,available_markets_CO,available_markets_CR,available_markets_CV,available_markets_CW,available_markets_CY,available_markets_CZ,available_markets_DE,available_markets_DJ,available_markets_DK,available_markets_DM,available_markets_DO,available_markets_DZ,available_markets_EC,available_markets_EE,available_markets_EG,available_markets_ES,available_markets_ET,available_markets_FI,available_markets_FJ,available_markets_FM,available_markets_FR,available_markets_GA,available_markets_GB,available_markets_GD,available_markets_GE,available_markets_GH,available_markets_GM,available_markets_GN,available_markets_GQ,available_markets_GR,available_markets_GT,available_markets_GW,available_markets_GY,available_markets_HK,available_markets_HN,available_markets_HR,available_markets_HT,available_markets_HU,available_markets_ID,available_markets_IE,available_markets_IL,available_markets_IN,available_markets_IQ,available_markets_IS,available_markets_IT,available_markets_JM,available_markets_JO,available_markets_JP,available_markets_KE,available_markets_KG,available_markets_KH,available_markets_KI,available_markets_KM,available_markets_KN,available_markets_KR,available_markets_KW,available_markets_KZ,available_markets_LA,available_markets_LB,available_markets_LC,available_markets_LI,available_markets_LK,available_markets_LR,available_markets_LS,available_markets_LT,available_markets_LU,available_markets_LV,available_markets_LY,available_markets_MA,available_markets_MC,available_markets_MD,available_markets_ME,available_markets_MG,available_markets_MH,available_markets_MK,available_markets_ML,available_markets_MN,available_markets_MO,available_markets_MR,available_markets_MT,available_markets_MU,available_markets_MV,available_markets_MW,available_markets_MX,available_markets_MY,available_markets_MZ,available_markets_NA,available_markets_NE,available_markets_NG,available_markets_NI,available_markets_NL,available_markets_NO,available_markets_NP,available_markets_NR,available_markets_NZ,available_markets_OM,available_markets_PA,available_markets_PE,available_markets_PG,available_markets_PH,available_markets_PK,available_markets_PL,available_markets_PR,available_markets_PS,available_markets_PT,available_markets_PW,available_markets_PY,available_markets_QA,available_markets_RO,available_markets_RS,available_markets_RW,available_markets_SA,available_markets_SB,available_markets_SC,available_markets_SE,available_markets_SG,available_markets_SI,available_markets_SK,available_markets_SL,available_markets_SM,available_markets_SN,available_markets_SR,available_markets_ST,available_markets_SV,available_markets_SZ,available_markets_TD,available_markets_TG,available_markets_TH,available_markets_TJ,available_markets_TL,available_markets_TN,available_markets_TO,available_markets_TR,available_markets_TT,available_markets_TV,available_markets_TW,available_markets_TZ,available_markets_UA,available_markets_UG,available_markets_US,available_markets_UY,available_markets_UZ,available_markets_VC,available_markets_VE,available_markets_VN,available_markets_VU,available_markets_WS,available_markets_XK,available_markets_ZA,available_markets_ZM,available_markets_ZW
count,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0,179940.0
mean,0.5368721612687563,0.4368194953373346,0.41383373373375687,0.29798869784483717,0.006874513726797821,0.6293820162276315,0.11868336756691747,-0.038133950940277675,0.14040830237328658,0.0032754541728979166,-0.0037890657164997457,0.02054527293190382,-0.01635525255566445,0.016549978915520878,0.11962320773591197,0.09340891408247194,0.10600200066688896,0.036884517061242635,0.0743192175169501,0.08844614871623875,0.06279871068133823,0.11456596643325553,0.06452150716905636,0.09797710347893743,0.06825608536178726,0.07319662109592086,0.0006224296987884851,0.012081805046126487,0.10653551183727909,0.8600700233411137,0.02069023007669223,2012.2611426030899,0.0560430351595393,0.14325680132014,0.02611039696706879,0.14838647598962976,-0.009678483113839356,-0.23651921299308498,0.009758404282841695,-1.130807512228471,1.6642134738718473,-0.320283836142551,0.3215848433994426,1.2798450470007254,2.1885430821830947,1.8467875997879444,-1.3511521571043055,-1.5645903306668245,0.1919118437441608,-0.7352485017926493,0.005800874615183897,-0.04417927837229209,0.09821524900381678,0.5650614413423829,0.8314982191384378,0.8793902191292041,-0.5650435798367596,0.47513343963964255,0.7215516283205513,0.7249305323996887,0.7203512281871735,0.7167611426030899,0.7196009781038124,0.7190730243414472,0.7288429476492164,0.7265032788707347,0.7204401467155719,0.7197677003445593,0.721946204290319,0.7211403801267089,0.7176947871512727,0.7295931977325776,0.7169278648438369,0.7279926642214072,0.7229243081027009,0.709675447371346,0.7188229409803267,0.7154996109814382,0.7284983883516728,0.7276258752917639,0.720918083805713,0.7114149160831388,0.7208736245415138,0.6683338890741358,0.7209403134378126,0.7229131932866512,0.7047349116372124,0.7186451039235301,0.7271090363454484,0.7168000444592642,0.7284150272312994,0.7246693342225187,0.7283038790708014,0.7291097032344115,0.7206624430365678,0.7343169945537401,0.7279926642214072,0.7296821162609759,0.7263309992219629,0.7182838724019117,0.7296432144048016,0.7207291319328665,0.7266755585195065,0.7205346226519951,0.7277703679004113,0.7297599199733245,0.7244581527175725,0.7304823830165611,0.7052739802156275,0.7306324330332333,0.7204734911637213,0.7194509280871402,0.7278704012448594,0.7183505612982105,0.7264088029343114,0.7203734578192731,0.7056074246971212,0.7229076358786262,0.7211681671668334,0.7234133600088919,0.7186784483716795,0.729131932866511,0.7273202178503946,0.720918083805713,0.7162609758808491,0.7257530287873736,0.7273257752584195,0.7233411137045682,0.7132266310992553,0.7301656107591419,0.7267311325997555,0.7279037456930088,0.7280482383016561,0.724219184172502,0.703945759697677,0.728704012448594,0.7278759586528843,0.7185950872513059,0.7219906635545181,0.7032677559186395,0.7229409803267756,0.7193786817828165,0.7233188840724686,0.7069967767033456,0.7186284316994553,0.7203734578192731,0.7248138268311659,0.72189063021007,0.7204568189396465,0.7216627764810493,0.7223907969323108,0.71811159275314,0.7216850061131488,0.7265977548071579,0.7146326553295543,0.71811159275314,0.7297932644214739,0.7284594864954985,0.7295876403245526,0.7022007335778593,0.7169889963321107,0.7215960875847505,0.720379015227298,0.7094864954984995,0.7185673002111815,0.7072746471045904,0.7219517616983439,0.7187673669000778,0.7192897632544182,0.7177059019673224,0.7183505612982105,0.7266700011114816,0.7250583527842615,0.7121707235745248,0.7187284650439035,0.727353562298544,0.7274924974991663,0.7210403467822607,0.7209792152939869,0.721245970879182,0.7268700678003779,0.7272979882182949,0.73053795709681,0.7308547293542292,0.7165499610981438,0.7073746804490386,0.7222518617316883,0.7233133266644437,0.7277370234522619,0.7278370567967101,0.718161609425364,0.7272479715460709,0.7181227075691897,0.7283316661109258,0.5849060798043793,0.7086362120706903,0.730649105257308,0.7095754140268978,0.7284594864954985,0.7234633766811159,0.7274980549071913,0.7021896187618095,0.7234744914971657,0.7254973880182283,0.7097421362676448,0.7200233411137046,0.7292541958430588,0.7268311659442036,0.7282260753584529,0.7293597865955318,0.7186284316994553,0.7104979437590307,0.7216072024008002,0.7143547849283094,0.7181949538735134,0.7274369234189174,0.7207124597087918,0.7214238079359787,0.7183394464821607,0.72405801933978,0.7200233411137046,0.7168389463154384,0.7239190841391575,0.7075302878737357,0.7268089363121041,0.7226575525175059,0.7074469267533622,0.725347338001556,0.7202789818828499,0.7265866399911082,0.7212181838390574,0.718972990996999,0.7220795820829166,0.7160108925197288,0.7182449705457374,0.7283761253751251,0.7244136934533734,0.7020895854173613,0.707241302656441,0.7021896187618095,0.7292930976992331,0.7187618094920529,0.7077525841947315
std,0.28836999197514807,0.27031322820373327,0.37686613692684306,0.3908850448360456,0.08262743327654137,0.4829716246392807,1.3721216657210957,0.9183564120672913,1.0300191116369157,0.9957620246145793,0.9644606887789735,0.9997714028749026,0.977651955505577,1.0063677113437413,0.3245213108259652,0.29100542860371653,0.30784103556122616,0.188478770383129,0.26229039965936807,0.2839434372428366,0.24260123598479075,0.3184983037920912,0.24568031610258836,0.29728451326276006,0.2521855380674752,0.2604596950901785,0.024940844753546784,0.10925155086143132,0.308522649968429,0.34691533135126656,0.14234555511745273,12.751616833589926,0.686598285335665,0.7105806693058403,0.6509109253162039,0.7440565163352774,0.603684055718794,0.7612724845601694,1.367784851430525,1.1230046565850695,1.2569093011959,1.1611957679698501,1.3017878603978303,1.640832533852411,1.1654661199193106,1.5221045793565164,0.9442861626936934,1.312590890939763,1.40639520196559,1.5269032154026017,1.8248402922021634,1.529089124501168,1.528477164161791,1.5118118910865708,1.3770965237472974,1.4143555139103101,1.3184633460688062,1.7597264560798636,0.44823653639642286,0.4465505164955878,0.4488278687387337,0.45057267482469404,0.44919542714765676,0.44945314844542944,0.44455821174836146,0.44575483048774545,0.4487842031738035,0.4491138818080381,0.4480412905087579,0.4484395721402504,0.4501223229680895,0.4441712056912033,0.45049242978515924,0.4449948826016293,0.4475554334809929,0.45391337477899707,0.4495749589900841,0.45117740295659275,0.4447354109109359,0.4451826168066399,0.44854912593566193,0.4531058090783156,0.4485710202644464,0.47081305596983797,0.44853817671793367,0.44756096955355135,0.4561630984295932,0.4496614751263909,0.4454465044486559,0.4505539577786482,0.44477823096913366,0.4466819887803067,0.44483529366772023,0.44442079331036954,0.4486749435733232,0.44169744202890887,0.4449948826016293,0.44412523194834586,0.4458423302773068,0.44983694335719443,0.44414534823684293,0.4486421390261577,0.4456672469212132,0.4487377845496627,0.4451087064414414,0.44408498641418415,0.44678814559748936,0.44371045204699505,0.4559207696849275,0.44363247692813457,0.448767822949355,0.44926875239919856,0.4450575030562508,0.44980457620910097,0.44580282461420484,0.44881695439731306,0.455770491949267,0.4475637374606411,0.44842586828558,0.44731150503633826,0.44964525997644805,0.44440933262817955,0.44533877075593,0.44854912593566193,0.45081295429034374,0.4461352666191593,0.44533593395443677,0.4473475819504493,0.4522560563193335,0.44387485462859566,0.4456389762784011,0.44504042895538715,0.44496640473981436,0.44690811965404414,0.4565164677266935,0.4446297036466179,0.44505465759175167,0.44968579211901316,0.4480192638543237,0.45681875962189455,0.4475471287261845,0.4493040350097753,0.44735867960677644,0.45514117114458996,0.44966958155486253,0.448816954397313,0.4466092830935193,0.44806881610048477,0.44877601344600543,0.44818158130504276,0.4478207765854311,0.44992050196031946,0.4481705861702866,0.4457068111671725,0.45159047444603145,0.44992050196031935,0.4440677330385508,0.4447553960621905,0.4441740783011018,0.457292057096615,0.45046298756147474,0.4482145584759471,0.4488142255984501,0.4540006097766242,0.4496992985874165,0.4550146934598633,0.4480385374774418,0.4496020046273944,0.44934744001209675,0.4501169472578508,0.449804576209101,0.4456700735057114,0.4464861092021422,0.45275238623513464,0.4496209315184148,0.4453217486355907,0.4452507892503869,0.44848888829503364,0.44851901229263436,0.4483874861033097,0.4455682614981065,0.4453501170877054,0.44368157988808243,0.4435168397218823,0.45067420948864495,0.4549691113414728,0.4478897462566928,0.44736145380524767,0.44512576793191366,0.4450745740039727,0.44989625140603673,0.4453756412206003,0.4499151135417402,0.44482103128304856,0.49273959340423124,0.45439198767405636,0.44362380904712945,0.45395956989820196,0.44475539606219044,0.4472865201706783,0.4452479497380003,0.4572969715983384,0.44728096702922304,0.44626453451520515,0.4538825631725378,0.4489886966147012,0.44434627371348634,0.4455880671345161,0.4448752166789004,0.4442917794630449,0.44966958155486253,0.45353253332726956,0.4482090631383648,0.4517224371060265,0.4498800805542996,0.44527917956349916,0.4486503413171549,0.4482996923554037,0.4498099715821455,0.44698894207210116,0.4489886966147012,0.45053523659598804,0.4470585582106399,0.4548981530215676,0.4455993827209542,0.44768820416547367,0.4549361744027647,0.44634032352083675,0.4488633309123389,0.4457124618069227,0.44840119595245714,0.44950189332078266,0.4479751940592036,0.4509328379687338,0.44985581855254814,0.4447982069056801,0.446810478468613,0.45734118758170794,0.45502988159766083,0.4572969715983384,0.44432620058135497,0.44960470872383085,0.454796672431495
min,0.0,0.0,0.0,0.0,0.0,0.0,-0.23206454700863652,-0.5540681938867466,-1.9847350282258462,-3.8988536950492003,-0.8452781269337196,-2.87208055446645,-1.135814950966328,-7.109588915495937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1899.0,-1.0,-1.0,-0.9987165071710528,-0.9948693233918952,-0.9749279121818236,-0.9009688679024191,-5.317235469818115,-10.384861946105957,-3.707282304763794,-8.946449279785156,-6.454081058502197,-9.571212768554688,-2.4055042266845703,-4.031762599945068,-12.386600494384766,-8.329009056091309,-6.063620090484619,-6.409714221954346,-7.645334879557292,-9.18669319152832,-6.357856750488281,-6.610439300537109,-3.7450310587882996,-3.67970871925354,-6.970730543136597,-7.616694927215576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.298,0.202,0.03775100401606426,2.11e-06,0.0,0.0,-0.2310416149771651,-0.5132963300963653,-0.5615001117480667,-0.7763498567473864,-0.4675563851624391,-0.6274659674457045,-0.5558082686818677,-0.3879392307876432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2009.0,-0.5000000000000004,-0.5000000000000004,-0.5712682150947924,-0.6121059825476627,-0.433883739117558,-0.9009688679024191,-0.8363355661742389,-1.7526989541947842,0.5878079673275352,-0.8780973725331327,-0.48467077688110294,0.05180410295724869,1.4095689840614796,0.6264445002743741,-1.823857848905027,-2.5085197805826156,-0.4010241627693176,-1.6730158291757107,-0.9967977454264959,-0.7812161147594452,-0.7962272763252258,-0.03188467180977265,0.0,0.0,-1.2495051622390747,-0.24794781704743704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.57,0.411,0.3042168674698795,0.00489,0.0,1.0,-0.21912560898666028,-0.1463495559829348,0.2237329456189841,0.02804399555077893,-0.35769272065832697,0.12248703709627347,-0.41908810577576966,0.32259088821817217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2017.0,1.2246467991473532e-16,0.5000000000000001,0.20129852008866006,0.34730525284481945,-0.433883739117558,-0.900968867902419,-0.1594310998916626,-1.0383052307773721,1.650582679332449,-0.08104017749428749,0.06250702729448676,1.2453281130641698,2.243376818858087,1.6804979341104627,-1.2453904999420047,-1.528550480802854,0.0,-0.3465387523174286,0.0,0.0,0.0,0.2782202959060669,0.37380173429846764,0.5052758455276489,-0.20502316020429134,0.12305211275815964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75%,0.785,0.654,0.8142570281124499,0.783,0.0,1.0,-0.09489647502360055,0.057509762968971055,0.9108118708151536,0.6305130311892075,-0.04065757451788934,0.7727959361396671,0.16513461677451743,0.7176838691900156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021.0,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.9189578116202306,0.7818314824680298,0.6234898018587336,0.4056387885163228,-0.28240489329283053,2.5539008632302282,0.366861286586971,0.891689267931118,2.297979485554,2.95252723259884,2.856285331957042,-0.7423008538782596,-0.49465602019336075,0.8589671110468251,0.0,0.7077755083640417,0.46463465690612793,0.9335023353674582,1.6453784187324345,1.687495271364848,1.9431648869455482,0.01681125589779445,1.6350202957789104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
max,1.0,1.0,1.0,1.0,1.0,1.0,18.763801144495012,40.17702373270404,2.9229715803182215,4.219178472165463,9.272642213587838,2.3199017846703214,4.887099714500549,2.251855404173424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2024.0,1.0,1.0,0.9987165071710528,1.0,0.9749279121818236,1.0,9.791929244995117,5.112179279327393,9.477547645568848,5.456737518310547,9.603023529052734,9.260578989982605,10.51546573638916,9.248017311096191,3.489536762237549,6.780194282531738,6.247776508331299,5.3212257623672485,6.136979579925537,7.486703157424927,6.550846576690674,6.270503997802734,6.931513071060181,7.106030464172363,5.865055561065674,6.511591672897339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
